,lambda [nm],gain
0,1450.0,0.0008556578879504418
1,1450.4,0.0008647688320957262
2,1450.8,0.0008776072341119547
3,1451.2,0.0008994975691603276
4,1451.6,0.0009155880875613401
5,1452.0,0.0009304649285802901
6,1452.4,0.0009475456255805275
7,1452.8,0.0009658288482564075
8,1453.2,0.0009869613319226423
9,1453.6,0.0009963227248079467
10,1454.0,0.0010064684543781366
11,1454.4,0.0010211747672197447
12,1454.8,0.0010322860487041485
13,1455.2,0.0010485763685118556
14,1455.6,0.0010656143173041494
15,1456.0,0.0010886797634165482
16,1456.4,0.001114038279161596
17,1456.8,0.0011342275143264577
18,1457.2,0.0011534535208492767
19,1457.6,0.001167078582822562
20,1458.0,0.001187408143626544
21,1458.4,0.0012053136022474405
22,1458.8,0.0012220811221590447
23,1459.2,0.0012393676610736213
24,1459.6,0.0012551626592544989
25,1460.0,0.0012735034990802164
26,1460.4,0.0012924093586978895
27,1460.8,0.0013061710290748218
28,1461.2,0.0013289237627530216
29,1461.6,0.0013517615281926753
30,1462.0,0.0013715135235349792
31,1462.4,0.0013909133108161793
32,1462.8,0.0014096137931739476
33,1463.2,0.0014328479088459517
34,1463.6,0.0014581427669335177
35,1464.0,0.0014914203882001936
36,1464.4,0.0015142586182942813
37,1464.8,0.0015251064407145083
38,1465.2,0.001553102335027928
39,1465.6,0.0015859887172610294
40,1466.0,0.0016274214885018934
41,1466.4,0.0016424800094046055
42,1466.8,0.001656533018111765
43,1467.2,0.0016788043697961606
44,1467.6,0.0017025509993090588
45,1468.0,0.0017470291157114996
46,1468.4,0.0017811482261584648
47,1468.8,0.0018084234414444806
48,1469.2,0.0018201201875159433
49,1469.6,0.0018479920190954382
50,1470.0,0.001864661961575866
51,1470.4,0.0019015164926768134
52,1470.8,0.001934194245068971
53,1471.2,0.001967886802745364
54,1471.6,0.0020053955672896286
55,1472.0,0.002023951542118369
56,1472.4,0.002058733249788466
57,1472.8,0.0020936306564126725
58,1473.2,0.00214091807352413
59,1473.6,0.0021837359796332665
60,1474.0,0.0022238221823238946
61,1474.4,0.0022620390802258407
62,1474.8,0.0023014422408982327
63,1475.2,0.002334533535736805
64,1475.6,0.0023872620562724396
65,1476.0,0.002436688742398834
66,1476.4,0.002466040033696739
67,1476.8,0.0025026496919108776
68,1477.2,0.0025211582719873314
69,1477.6,0.002544486247855039
70,1478.0,0.00259059855390247
71,1478.4,0.0026302684262200777
72,1478.8,0.0026859633006634798
73,1479.2,0.0027245835186142887
74,1479.6,0.0027554979074287554
75,1480.0,0.002761850198198349
76,1480.4,0.0027637585339595015
77,1480.8,0.00279190125907412
78,1481.2,0.0028255310884019
79,1481.6,0.0028687987800033177
80,1482.0,0.002914741951836709
81,1482.4,0.0029709823305858313
82,1482.8,0.003031796767584963
83,1483.2,0.0030838984692888975
84,1483.6,0.0031282399772876914
85,1484.0,0.0031732194558246056
86,1484.4,0.003227008317779026
87,1484.8,0.0032779330498011973
88,1485.2,0.003341951279123959
89,1485.6,0.0033907836722290446
90,1486.0,0.0034371626899216915
91,1486.4,0.0034930122942916737
92,1486.8,0.0035522218148751677
93,1487.2,0.003618262684949889
94,1487.6,0.0036838342540460945
95,1488.0,0.0037540505088663034
96,1488.4,0.0038247239836497397
97,1488.8,0.003885975660471429
98,1489.2,0.003942757826290799
99,1489.6,0.004007744860108813
100,1490.0,0.004080374994714556
101,1490.4,0.00415240851302682
102,1490.8,0.004199524007997632
103,1491.2,0.004263832181687318
104,1491.6,0.0043411028201271575
105,1492.0,0.004428942952981153
106,1492.4,0.004510244468637452
107,1492.8,0.004575094894051819
108,1493.2,0.004658007366631399
109,1493.6,0.004751165934138951
110,1494.0,0.004854003253510347
111,1494.4,0.00493741801753327
112,1494.8,0.005023425553298884
113,1495.2,0.005201160520914793
114,1495.6,0.005332123373186744
115,1496.0,0.005442520620202152
116,1496.4,0.005546259369175847
117,1496.8,0.0056454677374163445
118,1497.2,0.005747779997277124
119,1497.6,0.005865435146554331
120,1498.0,0.005996532748612194
121,1498.4,0.006112236349265869
122,1498.8,0.0062330418556067755
123,1499.2,0.006348922024945437
124,1499.6,0.006447628566397027
125,1500.0,0.0065614549631366394
126,1500.4,0.0066772886670318846
127,1500.8,0.006807693933982827
128,1501.2,0.00694544538753806
129,1501.6,0.007077830082378583
130,1502.0,0.007231026649325762
131,1502.4,0.0073960533181670115
132,1502.8,0.007578792614038975
133,1503.2,0.007757113046241944
134,1503.6,0.00796159352308891
135,1504.0,0.008182764387211407
136,1504.4,0.0083888061029572
137,1504.8,0.008603992217967536
138,1505.2,0.00883486971321993
139,1505.6,0.009082391130304436
140,1506.0,0.00931751556708518
141,1506.4,0.009569739287043529
142,1506.8,0.009840112409200715
143,1507.2,0.010118124450255723
144,1507.6,0.010399203210576278
145,1508.0,0.010678251431019492
146,1508.4,0.011025543448209848
147,1508.8,0.011384135861239316
148,1509.2,0.011754391100566553
149,1509.6,0.01214227532912635
150,1510.0,0.01255162659254499
151,1510.4,0.012995710774918137
152,1510.8,0.013436932685976776
153,1511.2,0.013931571270788057
154,1511.6,0.014454400440120677
155,1512.0,0.01498649481887073
156,1512.4,0.01553102335027928
157,1512.8,0.016110168637033795
158,1513.2,0.016695526353573215
159,1513.6,0.017278263419103893
160,1514.0,0.0178936982171674
161,1514.4,0.01862087311356108
162,1514.8,0.0194043920066427
163,1515.2,0.02022088277837331
164,1515.6,0.021091143361226538
165,1516.0,0.022003919824806692
166,1516.4,0.02292451177596965
167,1516.8,0.023905624967183778
168,1517.2,0.025003459352262426
169,1517.6,0.026248236055604265
170,1518.0,0.027605784390120142
171,1518.4,0.02906699248235591
172,1518.8,0.03071850444465199
173,1519.2,0.0326136997784063
174,1519.6,0.034697651682955126
175,1520.0,0.037127873364939126
176,1520.4,0.04004977378298872
177,1520.8,0.04368175446079873
178,1521.2,0.04773092976887624
179,1521.6,0.05255329934850801
180,1522.0,0.05826399527539371
181,1522.4,0.0650279698736651
182,1522.8,0.07314762024908265
183,1523.2,0.08287051428417427
184,1523.6,0.09453663962842514
185,1524.0,0.10846763008117048
186,1524.4,0.12482458133473842
187,1524.8,0.14407879238171176
188,1525.2,0.16657127311133074
189,1525.6,0.19270813149906346
190,1526.0,0.22222864994189495
191,1526.4,0.25515266918416435
192,1526.8,0.29140705261793276
193,1527.2,0.3310549467808044
194,1527.6,0.37333617701847044
195,1528.0,0.4184081217877858
196,1528.4,0.4697860777450506
197,1528.8,0.5263809878274478
198,1529.2,0.5864083002150885
199,1529.6,0.6484852033118709
200,1530.0,0.7135098741390533
201,1530.4,0.7832493935097997
202,1530.8,0.8519225309541167
203,1531.2,0.9103323812563977
204,1531.6,0.9571941749061513
205,1532.0,0.9880983413230663
206,1532.4,1.0
207,1532.8,0.9903760773593875
208,1533.2,0.9594008188140438
